=== Catalog ID Assignment Log ===

Processed: 1230 entries
Skipped:   3489 entries
OK    FXAI01241 → Sn05G Limiter X64
OK    FXAI01242 → Sn06G Opamp X64
OK    FXAI01243 → Softgate64
OK    FXAI01244 → Sparkverbx64
OK    FXAI01245 → Spatializedither64
OK    FXAI01246 → Specomp X64
OK    FXAI01247 → Spiral64
OK    FXAI01248 → Spiral264
OK    FXAI01249 → Srsly64
OK    FXAI01250 → Srsly264
OK    FXAI01255 → Ssq X64
OK    FXAI01256 → Starchild64
OK    FXAI01257 → Starchild264
OK    FXAI01258 → Stereochorus64
OK    FXAI01259 → Stereodoubler64
OK    FXAI01260 → Stereoensemble64
OK    FXAI01261 → Stereofx64
OK    FXAI01262 → Stonefire64
OK    FXAI01263 → Studiotan64
OK    FXAI01264 → Subsonly64
OK    FXAI01265 → Subtight64
OK    FXAI01267 → Surge64
OK    FXAI01268 → Surgetide64
OK    FXAI01269 → Sweetdrums X64
OK    FXAI01270 → Sweeten64
OK    FXAI01271 → Sweetvox X64
OK    FXAI01272 → Swell64
OK    FXAI01273 → Tal J 8 64
OK    FXAI01274 → Tape64
OK    FXAI01275 → Tapebias64
OK    FXAI01276 → Tapedelay64
OK    FXAI01277 → Tapedelay264
OK    FXAI01278 → Tapedither64
OK    FXAI01279 → Tapedust64
OK    FXAI01280 → Tapefat64
OK    FXAI01291 → Texturize64
OK    FXAI01292 → Texturizems64
OK    FXAI01294 → Thunder64
OK    FXAI01295 → Toneslant64
OK    FXAI01296 → Totape564
OK    FXAI01297 → Totape664
OK    FXAI01298 → Totape764
OK    FXAI01299 → Totape864
OK    FXAI01300 → Tovinyl464
OK    FXAI01301 → Tpdfdither64
OK    FXAI01302 → Tpdfwide64
OK    FXAI01303 → Transdesk64
OK    FXAI01304 → Tremolo64
OK    FXAI01305 → Tremosquare64
OK    FXAI01306 → Treq X64
OK    FXAI01307 → Trianglizer64
OK    FXAI01308 → Triplespread64
OK    FXAI01309 → Tuba X64
OK    FXAI01311 → Tube64
OK    FXAI01312 → Tube264
OK    FXAI01313 → Tubedesk64
OK    FXAI01314 → Tupre X64
OK    FXAI01316 → Ulawdecode64
OK    FXAI01317 → Ulawencode64
OK    FXAI01318 → Ultrasonic64
OK    FXAI01319 → Ultrasoniclite64
OK    FXAI01320 → Ultrasonicmed64
OK    FXAI01321 → Ultrasonx64
OK    FXAI01322 → Unbox64
OK    FXAI01325 → Valhalladelay X64
OK    FXAI01326 → Valhallafreqecho X64
OK    FXAI01327 → Valhallaplate X64
OK    FXAI01328 → Valhallaroom X64
OK    FXAI01329 → Valhallashimmer X64
OK    FXAI01330 → Valhallaspacemodulator X64
OK    FXAI01332 → Valhallasupermassive X64
OK    FXAI01333 → Valhallaubermod X64
OK    FXAI01335 → Valhallavintageverb X64
OK    FXAI01336 → Varimoon X64
OK    FXAI01337 → Varimu64
OK    FXAI01338 → Verbity64
OK    FXAI01339 → Verbity264
OK    FXAI01340 → Vibrato64
OK    FXAI01341 → Vinyldither64
OK    FXAI01342 → Voiceofthestarship64
OK    FXAI01343 → Voicetrick64
OK    FXAI01344 → Weight64
OK    FXAI01345 → Wider64
OK    FXAI01346 → Wolfbot64
OK    FXAI01347 → Xbandpass64
OK    FXAI01348 → Xhighpass64
OK    FXAI01349 → Xlowpass64
OK    FXAI01350 → Xnotch64
OK    FXAI01351 → Xregion64
OK    FXAI01352 → Ybandpass64
OK    FXAI01353 → Yhighpass64
OK    FXAI01354 → Ylowpass64
OK    FXAI01355 → Ynotbandpass64
OK    FXAI01356 → Ynotch64
OK    FXAI01357 → Ynothighpass64
OK    FXAI01358 → Ynotlowpass64
OK    FXAI01359 → Ynotnotch64
OK    FXAI01360 → Zbandpass64
OK    FXAI01361 → Zbandpass264
OK    FXAI01362 → Zhighpass64
OK    FXAI01363 → Zhighpass264
OK    FXAI01364 → Zlowpass64
OK    FXAI01365 → Zlowpass264
OK    FXAI01366 → Znotch64
OK    FXAI01367 → Znotch264
OK    FXAI01368 → Zoom64
OK    FXAI01369 → Zoutputstage64
OK    FXAI01370 → Zregion64
OK    FXAI01371 → Zregion264
OK    FXAI01372 → Acceleration64
OK    FXAI01373 → Acceleration264
OK    FXAI01374 → Adclip764
OK    FXAI01375 → Adclip864
OK    FXAI01376 → Adt64
OK    FXAI01377 → Air64
OK    FXAI01378 → Air264
OK    FXAI01379 → Air364
OK    FXAI01380 → Apicolypse64
OK    FXAI01381 → Aquickvoiceclip64
OK    FXAI01382 → Atmospherebuss64
OK    FXAI01383 → Atmospherechannel64
OK    FXAI01384 → Aura64
OK    FXAI01385 → Autopan64
OK    FXAI01386 → Average64
OK    FXAI01387 → Avermatrix64
OK    FXAI01388 → Balanced64
OK    FXAI01389 → Bassamp64
OK    FXAI01390 → Bassdrive64
OK    FXAI01391 → Basskit64
OK    FXAI01392 → Baxandall64
OK    FXAI01393 → Baxandall264
OK    FXAI01394 → Beam64
OK    FXAI01395 → Bigamp64
OK    FXAI01396 → Biquad64
OK    FXAI01397 → Biquad264
OK    FXAI01398 → Biquaddouble64
OK    FXAI01399 → Biquadnonlin64
OK    FXAI01400 → Biquadonehalf64
OK    FXAI01401 → Biquadplus64
OK    FXAI01402 → Biquadstack64
OK    FXAI01403 → Biquadtriple64
OK    FXAI01404 → Bite64
OK    FXAI01405 → Bitglitter64
OK    FXAI01406 → Bitshiftgain64
OK    FXAI01407 → Bitshiftpan64
OK    FXAI01408 → Blockparty64
OK    FXAI01409 → Brassrider64
OK    FXAI01410 → Brightambience64
OK    FXAI01411 → Brightambience264
OK    FXAI01412 → Brightambience364
OK    FXAI01413 → Buildatpdf64
OK    FXAI01414 → Busscolors464
OK    FXAI01415 → Buttercomp64
OK    FXAI01416 → Buttercomp264
OK    FXAI01417 → C5Rawbuss64
OK    FXAI01418 → C5Rawchannel64
OK    FXAI01419 → Cabs64
OK    FXAI01420 → Calibre64
OK    FXAI01421 → Capacitor64
OK    FXAI01422 → Capacitor264
OK    FXAI01423 → Chamber64
OK    FXAI01424 → Chamber264
OK    FXAI01425 → Channel464
OK    FXAI01426 → Channel564
OK    FXAI01427 → Channel664
OK    FXAI01428 → Channel764
OK    FXAI01429 → Channel864
OK    FXAI01430 → Channel964
OK    FXAI01431 → Chorus64
OK    FXAI01432 → Chorusensemble64
OK    FXAI01433 → Chromeoxide64
OK    FXAI01434 → Cider64
OK    FXAI01435 → Clearcoat64
OK    FXAI01436 → Cliponly64
OK    FXAI01437 → Cliponly264
OK    FXAI01438 → Clipsoftly64
OK    FXAI01439 → Cloudcoat64
OK    FXAI01440 → Coils64
OK    FXAI01441 → Coils264
OK    FXAI01442 → Cojones64
OK    FXAI01443 → Compresaturator64
OK    FXAI01444 → Console0Buss64
OK    FXAI01445 → Console0Channel64
OK    FXAI01446 → Console4Buss64
OK    FXAI01447 → Console4Channel64
OK    FXAI01448 → Console5Buss64
OK    FXAI01449 → Console5Channel64
OK    FXAI01450 → Console5Darkch64
OK    FXAI01451 → Console6Buss64
OK    FXAI01452 → Console6Channel64
OK    FXAI01453 → Console7Buss64
OK    FXAI01454 → Console7Cascade64
OK    FXAI01455 → Console7Channel64
OK    FXAI01456 → Console7Crunch64
OK    FXAI01457 → Console8Busshype64
OK    FXAI01458 → Console8Bussin64
OK    FXAI01459 → Console8Bussout64
OK    FXAI01460 → Console8Channelhype64
OK    FXAI01461 → Console8Channelin64
OK    FXAI01462 → Console8Channelout64
OK    FXAI01463 → Console8Litebuss64
OK    FXAI01464 → Console8Litechannel64
OK    FXAI01465 → Console8Subhype64
OK    FXAI01466 → Console8Subin64
OK    FXAI01467 → Console8Subout64
OK    FXAI01468 → Consolelabuss64
OK    FXAI01469 → Consolelachannel64
OK    FXAI01470 → Consolemcbuss64
OK    FXAI01471 → Consolemcchannel64
OK    FXAI01472 → Consolemdbuss64
OK    FXAI01473 → Consolemdchannel64
OK    FXAI01474 → Contenthided64
OK    FXAI01475 → Creature64
OK    FXAI01476 → Crickbass64
OK    FXAI01477 → Crunchcoat64
OK    FXAI01478 → Crunchygroovewear64
OK    FXAI01479 → Crystal64
OK    FXAI01480 → Cstrip64
OK    FXAI01481 → Cstrip264
OK    FXAI01482 → Curve64
OK    FXAI01483 → Dark64
OK    FXAI01484 → Darknoise64
OK    FXAI01485 → Dcvoltage64
OK    FXAI01486 → Debess64
OK    FXAI01487 → Deckwrecka64
OK    FXAI01488 → Deess64
OK    FXAI01489 → Dehiss64
OK    FXAI01490 → Density64
OK    FXAI01491 → Density264
OK    FXAI01492 → Derez64
OK    FXAI01493 → Derez264
OK    FXAI01494 → Desk64
OK    FXAI01495 → Desk464
OK    FXAI01496 → Digitalblack64
OK    FXAI01497 → Dirt64
OK    FXAI01498 → Discontinuity64
OK    FXAI01499 → Distance64
OK    FXAI01500 → Distance264
OK    FXAI01501 → Distance364
OK    FXAI01502 → Distortion64
OK    FXAI01503 → Ditherbox64
OK    FXAI01504 → Ditherfloat64
OK    FXAI01505 → Dithermediskers64
OK    FXAI01506 → Dithermetimbers64
